dec_year,basis,node,official,estimated,est_minus_official,official_rolled,rolled_minus_official
1996,new,rent_shelter,27.577,25.3881,-2.1889,,
1996,new,svc_less_ros,29.55,31.854,2.304,,
1997,new,headline,100.0,100.0,0.0,,
1997,new,core,77.661,,,,
1997,new,food,15.326,12.9825,-2.3435,,
1997,new,energy,7.013,7.3022,0.2892,,
1997,new,core_goods,24.053,25.0093,0.9563,,
1997,new,core_services,53.608,54.7061,1.0981,,
1997,new,commodities,42.635,43.9768,1.3418,,
1997,new,services,57.365,56.0232,-1.3418,,
1997,new,food_home,9.646,8.1738,-1.4722,,
1997,new,food_away,5.68,4.8086,-0.8714,,
1997,new,energy_cmdty,3.256,3.3802,0.1242,,
1997,new,energy_svc,3.757,3.922,0.165,,
1997,new,rent_shelter,29.41,29.1109,-0.2991,,
1997,new,svc_less_ros,27.955,26.9123,-1.0427,,
1998,new,headline,100.0,100.0,0.0,,
1998,new,core,78.284,,,,
1998,new,food,15.422,14.4601,-0.9619,,
1998,new,energy,6.294,6.5635,0.2695,,
1998,new,core_goods,23.967,24.4298,0.4628,,
1998,new,core_services,54.316,54.5466,0.2306,,
1998,new,commodities,42.109,44.5991,2.4901,,
1998,new,services,57.891,55.4009,-2.4901,,
1998,new,food_home,9.691,8.9398,-0.7512,,
1998,new,food_away,5.73,5.5204,-0.2096,,
1998,new,energy_cmdty,2.72,2.8365,0.1165,,
1998,new,energy_svc,3.574,3.7269,0.1529,,
1998,new,rent_shelter,29.912,25.7103,-4.2017,,
1998,new,svc_less_ros,27.979,29.6906,1.7116,,
1999,new,headline,100.0,100.0,0.0,,
1999,new,core,77.731,,,,
1999,new,food,15.315,17.144,1.829,,
1999,new,energy,6.954,7.1076,0.1536,,
1999,new,core_goods,23.393,23.4175,0.0245,,
1999,new,core_services,54.338,52.3308,-2.0072,,
1999,new,commodities,42.141,43.4436,1.3026,,
1999,new,services,57.859,56.5564,-1.3026,,
1999,new,food_home,9.603,12.3093,2.7063,,
1999,new,food_away,5.712,4.8347,-0.8773,,
1999,new,energy_cmdty,3.433,3.5002,0.0672,,
1999,new,energy_svc,3.521,3.6074,0.0864,,
1999,new,rent_shelter,29.865,29.8582,-0.0068,,
1999,new,svc_less_ros,27.994,26.6982,-1.2958,,
2000,new,headline,100.0,100.0,0.0,,
2000,new,core,77.102,,,,
2000,new,food,15.217,16.6936,1.4766,,
2000,new,energy,7.681,7.6137,-0.0673,,
2000,new,core_goods,22.768,22.1052,-0.6628,,
2000,new,core_services,54.334,53.5875,-0.7465,,
2000,new,commodities,41.828,42.1547,0.3267,,
2000,new,services,58.172,57.8453,-0.3267,,
2000,new,food_home,9.56,10.5975,1.0375,,
2000,new,food_away,5.658,6.0961,0.4381,,
2000,new,energy_cmdty,3.843,3.8102,-0.0328,,
2000,new,energy_svc,3.838,3.8035,-0.0345,,
2000,new,rent_shelter,29.885,30.1469,0.2619,,
2000,new,svc_less_ros,28.287,27.6985,-0.5885,,
2001,new,headline,100.0,100.0,0.0,,
2001,new,core,79.094,,,,
2001,new,food,14.688,13.4912,-1.1968,,
2001,new,energy,6.218,6.4746,0.2566,,
2001,new,core_goods,23.86,25.2934,1.4334,,
2001,new,core_services,55.234,54.7408,-0.4932,,
2001,new,commodities,41.3,41.5215,0.2215,,
2001,new,services,58.7,58.4785,-0.2215,,
2001,new,food_home,8.468,7.6462,-0.8218,,
2001,new,food_away,6.22,5.845,-0.375,,
2001,new,energy_cmdty,2.752,2.8623,0.1103,,
2001,new,energy_svc,3.466,3.6123,0.1463,,
2001,new,rent_shelter,31.169,30.2114,-0.9576,,
2001,new,svc_less_ros,27.531,28.2671,0.7361,,
2001,old,headline,100.0,100.0,0.0,100.0,0.0
2001,old,core,78.02,,,,
2001,old,food,15.403,16.893,1.49,15.3988,-0.0042
2001,old,energy,6.576,6.5199,-0.0561,6.5776,0.0016
2001,old,core_goods,22.366,21.7074,-0.6586,22.3583,-0.0077
2001,old,core_services,55.654,54.8857,-0.7683,55.6502,-0.0038
2001,old,commodities,40.624,40.9294,0.3054,40.6122,-0.0118
2001,old,services,59.376,59.0616,-0.3144,59.3951,0.0191
2001,old,food_home,9.661,10.7115,1.0505,9.6622,0.0012
2001,old,food_away,5.743,6.1857,0.4427,5.7408,-0.0022
2001,old,energy_cmdty,2.855,2.8321,-0.0229,2.8565,0.0015
2001,old,energy_svc,3.721,3.6874,-0.0336,3.7208,-0.0002
2001,old,rent_shelter,30.671,30.9432,0.2722,30.6745,0.0035
2001,old,svc_less_ros,28.705,28.1058,-0.5992,28.7029,-0.0021
2002,new,headline,100.0,100.0,0.0,,
2002,new,core,78.724,,,,
2002,new,food,14.554,14.1644,-0.3896,,
2002,new,energy,6.723,6.734,0.011,,
2002,new,core_goods,22.945,22.9817,0.0367,,
2002,new,core_services,55.779,56.1198,0.3408,,
2002,new,commodities,40.822,40.9165,0.0945,,
2002,new,services,59.178,59.0835,-0.0945,,
2002,new,food_home,8.338,7.6525,-0.6855,,
2002,new,food_away,6.216,6.5119,0.2959,,
2002,new,energy_cmdty,3.324,3.3449,0.0209,,
2002,new,energy_svc,3.399,3.3892,-0.0098,,
2002,new,rent_shelter,31.364,31.6709,0.3069,,
2002,new,svc_less_ros,27.815,27.4127,-0.4023,,
2003,new,headline,100.0,100.0,0.0,,
2003,new,core,78.537,,,,
2003,new,food,14.383,16.6049,2.2219,,
2003,new,energy,7.08,7.0441,-0.0359,,
2003,new,core_goods,22.254,22.4536,0.1996,,
2003,new,core_services,56.283,53.8974,-2.3856,,
2003,new,commodities,40.117,39.1911,-0.9259,,
2003,new,services,59.883,60.8089,0.9259,,
2003,new,food_home,8.256,9.3004,1.0444,,
2003,new,food_away,6.127,7.3045,1.1775,,
2003,new,energy_cmdty,3.48,3.4669,-0.0131,,
2003,new,energy_svc,3.6,3.5773,-0.0227,,
2003,new,rent_shelter,32.494,34.0377,1.5437,,
2003,new,svc_less_ros,27.389,26.7712,-0.6178,,
2003,old,headline,100.0,100.0,0.0,100.0,0.0
2003,old,core,78.143,,,,
2003,old,food,14.801,14.3971,-0.4039,14.793,-0.008
2003,old,energy,7.056,7.0655,0.0095,7.0538,-0.0022
2003,old,core_goods,21.965,22.0037,0.0387,21.9683,0.0033
2003,old,core_services,56.178,56.513,0.335,56.1692,-0.0088
2003,old,commodities,40.254,40.3494,0.0954,40.2563,0.0023
2003,old,services,59.746,59.6356,-0.1104,59.731,-0.015
2003,old,food_home,8.558,7.8526,-0.7054,8.5559,-0.0021
2003,old,food_away,6.243,6.5408,0.2978,6.2435,0.0005
2003,old,energy_cmdty,3.488,3.5089,0.0209,3.487,-0.001
2003,old,energy_svc,3.568,3.5549,-0.0131,3.5651,-0.0029
2003,old,rent_shelter,31.47,31.7707,0.3007,31.4624,-0.0076
2003,old,svc_less_ros,28.276,27.871,-0.405,28.2795,0.0035
2004,new,headline,100.0,100.0,0.0,,
2004,new,core,77.714,,,,
2004,new,food,14.295,11.3431,-2.9519,,
2004,new,energy,7.991,7.9619,-0.0291,,
2004,new,core_goods,21.674,21.549,-0.125,,
2004,new,core_services,56.04,59.146,3.106,,
2004,new,commodities,40.239,41.1667,0.9277,,
2004,new,services,59.761,58.8333,-0.9277,,
2004,new,food_home,8.183,6.4487,-1.7343,,
2004,new,food_away,6.113,4.8943,-1.2187,,
2004,new,energy_cmdty,4.269,4.2298,-0.0392,,
2004,new,energy_svc,3.722,3.7321,0.0101,,
2004,new,rent_shelter,32.3,31.6844,-0.6156,,
2004,new,svc_less_ros,27.462,27.1489,-0.3131,,
2005,new,headline,100.0,100.0,0.0,,
2005,new,core,77.373,,,,
2005,new,food,13.942,16.1361,2.1941,,
2005,new,energy,8.685,8.8415,0.1565,,
2005,new,core_goods,22.319,21.8677,-0.4513,,
2005,new,core_services,55.055,53.1546,-1.9004,,
2005,new,commodities,40.79,41.2622,0.4722,,
2005,new,services,59.21,58.7378,-0.4722,,
2005,new,food_home,7.988,9.0361,1.0481,,
2005,new,food_away,5.953,7.1,1.147,,
2005,new,energy_cmdty,4.53,4.6038,0.0738,,
2005,new,energy_svc,4.155,4.2377,0.0827,,
2005,new,rent_shelter,31.884,32.1098,0.2258,,
2005,new,svc_less_ros,27.325,26.6279,-0.6971,,
2006,new,headline,100.0,100.0,0.0,,
